No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421,ls_prob
5235463,Tree,1,36.33548737,16.218532971222675,0,18.8650738819875,99.3514722255366,153.6148625,7971.24761,8985.958186,0.0
5235464,Tree,1,47.76161957,16.225642525272754,0,18.8650737923502,99.3515196924974,149.6151432,7971.283881,8987.046082,0.0
5235465,Tree,1,47.76161957,16.234389884939766,0,18.8650736802865,99.351579026198,144.7031923,7971.333634,8988.40968,0.0
5235466,Tree,1,50.76286316,16.241264143583862,0,18.865073590622,99.3516264931582,140.8501517,7971.376967,8989.503541,0.0
5235467,Tree,1,46.7368927,16.25626844817479,0,18.8650733888325,99.3517332938176,132.461913,7971.48594,8991.974415,0.0
5235468,Tree,1,50.76286316,16.249684605129712,0,18.8650734785243,99.351685826858,136.1389761,7971.435546,8990.874593,0.0
5235469,Tree,1,46.7368927,16.262940607811416,0,18.8650732957644,99.3517825407879,128.7413951,7971.54154,8993.118278,0.0
5235470,Tree,1,40.09809494,16.27655424991751,0,18.8650730972505,99.3518875614344,121.1686129,7971.671393,8995.567114,0.0
5235471,Tree,1,46.7368927,16.270512086747516,0,18.8650731869817,99.3518400944757,124.5265859,7971.6108,8994.458691,0.0
5235473,Tree,1,40.09809494,16.283821644766793,0,18.8650729850696,99.3519468951324,117.1362533,7971.751547,8996.95636,0.0
5235492,Tree,1,41.68523788,16.31796195515176,0,18.8650709850844,99.3530030348869,98.47956369,7973.998481,9022.374149,0.0
5235493,Tree,1,43.49151993,16.314347060852636,0,18.8650708950567,99.353050501839,100.4944047,7974.135926,9023.547072,0.0
5235494,Tree,1,41.53739166,16.30492052259276,0,18.8650706924502,99.3531573024803,105.7549288,7974.456639,9026.195727,0.0
5235495,Tree,1,43.49151993,16.30931962395231,0,18.8650707825051,99.3531098355288,103.2986828,7974.312141,9025.01691,0.0
5235496,Tree,1,41.53739166,16.300030222703292,0,18.8650705990054,99.3532065494423,108.488414,7974.60987,9027.421515,0.0
5235497,Tree,1,37.2204895,16.28861043686812,0,18.8650703996881,99.3533115700709,114.8847904,7974.947908,9030.044952,0.0
5235498,Tree,1,41.53739166,16.293928800891887,0,18.8650704897823,99.3532641031202,111.9035455,7974.793222,9028.857633,0.0
5235499,Tree,1,31.79223633,16.275811682548657,0,18.8650701969317,99.3534183707089,122.0766919,7975.30741,9032.725978,0.0
